name,cyrillic_name,population,latitude,longitude,state,country,percentageOfSessions
Çaḩonzeb,Ҷаҳонзеб,11172,40.246171,70.0659186,Suġd,Tajikistan,
Niçonī,Ниҷонӣ,10945,39.9618219,68.9218701,Suġd,Tajikistan,
Hovaling,Ховалинг,10906,38.3381881,69.9715949,Hatlon,Tajikistan,
Ḩamid Aliev,Ҳамид Алиев,10600,40.1550328,68.7474705,Suġd,Tajikistan,
Čorboġ,Чорбоғ,10518,39.8619672,69.0942387,Suġd,Tajikistan,
Fajzobod,Файзобод,10440,37.6660143,69.4946341,Hatlon,Tajikistan,
Sovet,Совет,10300,38.0504361,69.5882989,Hatlon,Tajikistan,
Tidon,Тидон,10229,39.8432983,70.5928384,Suġd,Tajikistan,
Surh,Сурх,10139,39.9984576,70.6048066,Suġd,Tajikistan,
Pūloton,Пӯлотон,10071,40.3026946,70.4399269,Suġd,Tajikistan,
Safedteppa,Сафедтеппа,9878,40.1825239,69.4194323,Suġd,Tajikistan,
Ķurbonšaḩid,Қурбоншаҳид,9851,37.7811181,69.5515785,Hatlon,Tajikistan,
Obikiik,Обикиик,9800,38.1638223,68.6742777,Hatlon,Tajikistan,
Saidķal'a,Саидқалъа,9719,40.1734587,69.372582,Suġd,Tajikistan,
Fajzobod,Файзобод,9700,38.547927,69.3177191,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Çūjbodom,Ҷӯйбодом,9628,38.5506339,68.7009251,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Majdon,Майдон,9472,39.8550606,70.5576907,Suġd,Tajikistan,
Kulangir,Кулангир,9369,40.2858147,69.6775707,Suġd,Tajikistan,
Navobod,Навобод,9200,38.5253081,68.6721137,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Gulhona,Гулхона,9159,40.1541953,69.5032801,Suġd,Tajikistan,
Basmanda,Басманда,9135,39.6926752,69.153948,Suġd,Tajikistan,
Ponġozi Bolo,Понғози Боло,9132,40.7819855,70.2522101,Suġd,Tajikistan,
Roḩatī,Роҳатӣ,9080,38.6000673,68.9293696,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Ġūsar,Ғӯсар,8944,39.4602735,67.8489765,Suġd,Tajikistan,
Dalën,Далён,8924,39.8302635,69.0111483,Suġd,Tajikistan,
Farob,Фароб,8857,39.2421295,67.4735903,Suġd,Tajikistan,
Čorboġ,Чорбоғ,8856,37.4181517,68.1911725,Hatlon,Tajikistan,
Dūstī,Дӯстӣ,8855,37.717625,68.8431434,Hatlon,Tajikistan,
Šaḩrinav,Шаҳринав,8851,38.5710254,68.335801,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Mahram,Махрам,8813,40.2448368,70.1914155,Suġd,Tajikistan,
Arbobhotun,Арбобхотун,8761,38.5511619,68.7166941,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Gulbutta,Гулбутта,8713,38.4863826,68.7664411,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Loḩutī,Лоҳутӣ,8690,40.2460297,70.1324629,Suġd,Tajikistan,
Navobod,Навобод,8676,38.0446253,68.9159307,Hatlon,Tajikistan,
Ķabla,Қабла,8637,37.4801574,68.1782562,Hatlon,Tajikistan,
Ķal'ačai Kalon,Қалъачаи Калон,8566,39.8935513,68.9995155,Suġd,Tajikistan,
Oķçar,Оқҷар,8360,37.8485978,69.5611144,Hatlon,Tajikistan,
Ġarm,Ғарм,8300,39.02496,70.37402,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Sariosië,Сариосиё,8239,40.1786514,69.3219658,Suġd,Tajikistan,
Čorboġ,Чорбоғ,8122,38.6674323,68.7619995,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Ķal'ača,Қалъача,8091,40.1254996,69.6796992,Suġd,Tajikistan,
Ķal'aibaland,Қалъаибаланд,8023,39.8635235,69.0171936,Suġd,Tajikistan,
Somon,Сомон,7989,38.5026389,68.745651,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Navbunëd,Навбунёд,7980,40.1443216,69.4910922,Suġd,Tajikistan,
Arabhona,Арабхона,7975,37.3883561,68.1831321,Hatlon,Tajikistan,
Majdončai Komsomol,Майдончаи Комсомол,7945,40.3152163,69.3455789,Suġd,Tajikistan,
Urmetan,Урметан,7910,39.4412111,68.2571415,Suġd,Tajikistan,
Ismoili Somonī,Исмоили Сомонӣ,7900,37.7671429,68.8001544,Hatlon,Tajikistan,
Rugund,Ругунд,7811,39.9738243,68.9774917,Suġd,Tajikistan,
Muçun,Муҷун,7661,39.8778054,69.1811274,Suġd,Tajikistan,
Farmonkal'a,Фармонкалъа,7652,40.273006,69.293454,Suġd,Tajikistan,
Deḩmoj,Деҳмой,7528,40.2127985,69.5148133,Suġd,Tajikistan,
Safedteppa,Сафедтеппа,7507,40.287325,69.6978638,Suġd,Tajikistan,
Ġarav,Ғарав,7465,38.316012,68.989215,Hatlon,Tajikistan,
Kūhdoman,Кӯхдоман,7419,37.6140718,68.4346573,Hatlon,Tajikistan,
Guliston,Гулистон,7409,38.5393763,68.8687412,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Dalëni Bolo,Далёни Боло,7324,39.7441878,68.995569,Suġd,Tajikistan,
Ġazantarak,Ғазантарак,7301,39.96529,69.1432489,Suġd,Tajikistan,
Mirzo Tursunzoda,Мирзо Турсунзода,7300,38.5288298,68.3299021,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Bošķal'a,Бошқалъа,7292,37.4626517,68.1665833,Hatlon,Tajikistan,
Lakkon,Лаккон,7247,40.1714839,70.8554386,Suġd,Tajikistan,
Musaffo,Мусаффо,7185,40.2408089,69.7055652,Suġd,Tajikistan,
Čimteppa,Чимтеппа,7160,38.46774,68.7355081,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Ašti Poën,Ашти Поён,7154,40.8002409,70.6224329,Suġd,Tajikistan,
Rūdakī,Рӯдакӣ,7130,37.6927362,68.8395387,Hatlon,Tajikistan,
Orzu,Орзу,7100,37.5604773,68.8115608,Hatlon,Tajikistan,
Daštak,Даштак,7094,40.2594522,69.6728207,Suġd,Tajikistan,
Šoḩ,Шоҳ,7087,37.0505684,68.1117367,Hatlon,Tajikistan,
Gulparvar,Гулпарвар,7081,38.4936717,68.738074,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Çarķūrġon,Ҷарқӯрғон,7026,39.9744085,69.035156,Suġd,Tajikistan,
Šajhburḩon,Шайхбурҳон,7002,40.2781542,69.6603995,Suġd,Tajikistan,
Sūfī Orif,Сӯфӣ Ориф,6995,39.9606473,69.0398603,Suġd,Tajikistan,
Ašti Bolo,Ашти Боло,6991,40.8103893,70.6076865,Suġd,Tajikistan,
Bohtariën,Бохтариён,6900,37.8822655,68.7295152,Hatlon,Tajikistan,
Murġob,Мурғоб,6891,38.1748024,73.9694548,Kūḩistoni Badahšon,Tajikistan,
Tūda,Тӯда,6826,38.5747338,68.4711218,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Gulšan,Гулшан,6825,40.6316115,70.4715525,Suġd,Tajikistan,
Sajrob,Сайроб,6782,37.6247215,69.639085,Hatlon,Tajikistan,
Ponġoz,Понғоз,6780,40.7540959,70.2615556,Suġd,Tajikistan,
Toçikiston,Тоҷикистон,6706,38.5369938,68.3880693,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Ruknobod,Рукнобод,6678,39.4667872,68.018577,Suġd,Tajikistan,
Guliston,Гулистон,6676,37.7443395,69.5052053,Hatlon,Tajikistan,
Boturobod,Ботуробод,6627,37.8337071,68.8860966,Hatlon,Tajikistan,
Hočašaķiķi Balhī,Хочашақиқи Балхӣ,6581,38.2473746,69.2821553,Hatlon,Tajikistan,
Ègamberdī Ḩoçamberdiev,Эгамбердӣ Ҳоҷамбердиев,6552,40.6937182,70.5884552,Suġd,Tajikistan,
Meḩnatobod,Меҳнатобод,6549,37.7260099,69.5484228,Hatlon,Tajikistan,
Obigarm,Обигарм,6500,38.7167191,69.709435,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Ķūšteppa,Қӯштеппа,6498,38.5276053,68.7957358,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Aivaç,Аиваҷ,6473,36.9835196,68.0359457,Hatlon,Tajikistan,
Tutķavuli Nav,Тутқавули Нав,6469,38.3856819,69.2618643,Hatlon,Tajikistan,
Rosrovut,Росровут,6422,39.6272896,69.2853483,Suġd,Tajikistan,
Sangoba,Сангоба,6415,37.2339843,67.9855559,Hatlon,Tajikistan,
20-solagii Istiķloliât Čumhurii Toçikiston,20-солагии Истиқлолият Чумхурии Тоҷикистон,6400,37.565671,68.4494624,Hatlon,Tajikistan,
Ângiobod,Янгиобод,6385,40.1171184,69.4031549,Suġd,Tajikistan,
Ḩisor,Ҳисор,6383,38.4815861,68.592379,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Istiķlol,Истиқлол,6378,39.8739453,69.1448783,Suġd,Tajikistan,
Čorboġ,Чорбоғ,6357,39.4343169,67.7465903,Suġd,Tajikistan,
Tangaī,Тангаӣ,6195,38.593495,69.057703,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Čaparī,Чапарӣ,6178,37.4452098,68.1871813,Hatlon,Tajikistan,
Dilovaron,Диловарон,6148,40.3086848,70.3985657,Suġd,Tajikistan,
Vaḩdat,Ваҳдат,6100,39.2227129,71.2029823,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Oķgaza,Оқгаза,6068,37.7662401,68.9103573,Hatlon,Tajikistan,
Bogat,Богат,6012,39.9407642,68.9921259,Suġd,Tajikistan,
Čoršanbe,Чоршанбе,5990,37.3149225,68.1295174,Hatlon,Tajikistan,
Nišoni Lenin,Нишони Ленин,5946,38.5252226,68.7245359,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Roḩi Lenin,Роҳи Ленин,5891,37.5051231,68.670053,Hatlon,Tajikistan,
Durbat,Дурбат,5888,38.5277117,68.6333864,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Gulšan,Гулшан,5868,37.572092,69.4311624,Hatlon,Tajikistan,
Šaraf,Шараф,5846,38.4699296,68.8188512,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Lakat,Лакат,5845,39.9882466,69.0091275,Suġd,Tajikistan,
Ķarotoġ,Қаротоғ,5831,38.6216617,68.3292981,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Parčasoj,Парчасой,5829,38.2538623,69.0405834,Hatlon,Tajikistan,
Boboçon Ġafurov,Бобоҷон Ғафуров,5817,37.3560203,68.1734671,Hatlon,Tajikistan,
Šūrnova,Шӯрнова,5793,39.4341404,67.4693551,Suġd,Tajikistan,
Navbaḩor,Навбаҳор,5715,40.5639989,69.3440036,Suġd,Tajikistan,
Bandar,Бандар,5712,37.8926383,68.6607099,Hatlon,Tajikistan,
Konsoj,Консой,5700,40.4896694,69.6998072,Suġd,Tajikistan,
Meḩnat,Меҳнат,5680,38.0890189,68.688572,Hatlon,Tajikistan,
Kirov,Киров,5600,37.8215323,68.857931,Hatlon,Tajikistan,
Safarov Gadoī,Сафаров Гадоӣ,5593,37.6394237,69.5998211,Hatlon,Tajikistan,
Zafar,Зафар,5576,38.5866758,68.7034915,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Taġoâk,Тағояк,5550,40.1181998,69.3235664,Suġd,Tajikistan,
Ķal'aidūst,Қалъаидӯст,5549,39.7315648,69.1531326,Suġd,Tajikistan,
Deḩķonobod,Деҳқонобод,5524,38.5351253,68.800714,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Zarkamar,Заркамар,5522,38.6871689,69.553895,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Hamirçūj,Хамирҷӯй,5470,40.2495988,70.3805115,Suġd,Tajikistan,
Somoniën,Сомониён,5461,37.6506848,69.4340129,Hatlon,Tajikistan,
Komsomolobod,Комсомолобод,5438,38.864582,69.9635139,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Guzari Bolo,Гузари Боло,5437,37.4218003,68.2004529,Hatlon,Tajikistan,
Občakoron,Обчакорон,5431,38.4942087,68.720288,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Boġi Iram,Боғи Ирам,5414,38.5316194,68.1667484,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Guliston,Гулистон,5411,40.142849,68.6675353,Suġd,Tajikistan,
1 Maj,1 Май,5400,38.2400034,68.8702385,Hatlon,Tajikistan,
Patar,Патар,5384,40.3525022,70.4532475,Suġd,Tajikistan,
Ķiënčašma,Қиёнчашма,5374,37.6961002,69.7167386,Hatlon,Tajikistan,
Somonī,Сомонӣ,5363,37.3441914,68.9688802,Hatlon,Tajikistan,
Ovčī,Овчӣ,5345,40.1181399,69.669382,Suġd,Tajikistan,
Çangalobod,Ҷангалобод,5324,38.5287255,68.9101123,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Sangtūda,Сангтӯда,5308,38.0411326,69.0748088,Hatlon,Tajikistan,
Ošoba,Ошоба,5295,40.7344771,70.4407455,Suġd,Tajikistan,
Marḩamat,Марҳамат,5287,40.6646454,70.506739,Suġd,Tajikistan,
Ḩulbek,Ҳулбек,5284,37.8917697,69.571048,Hatlon,Tajikistan,
Oftobrūj,Офтобрӯй,5277,40.1711964,70.6703318,Suġd,Tajikistan,
Pahtaobod,Пахтаобод,5250,38.461916,68.1357946,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Ovčī,Овчӣ,5228,39.5885484,69.0765822,Suġd,Tajikistan,
Zirakī,Зиракӣ,5227,37.4308641,68.1676548,Hatlon,Tajikistan,
Rahšonzamin,Рахшонзамин,5223,38.1164442,69.3667454,Hatlon,Tajikistan,
Ḩaëtinav,Ҳаётинав,5193,38.4981463,68.5796331,Šaḩrḩo va Noḩiâḩoi Tobei Çumḩurī,Tajikistan,
Navobod,Навобод,5162,39.4474426,67.9199788,Suġd,Tajikistan,
