name,population,latitude,longitude,state,country,percentageOfSessions
Kajyn̦dy,10006,42.82649,73.67624,Čùj,Kyrgyzstan,
Ananʹevo,9927,42.73541,77.67265,Ycyk-Kôl,Kyrgyzstan,
Naryn,9858,41.127252,72.075183,Žalal-Abad,Kyrgyzstan,
Ladan-Kara,9472,40.928924,72.939882,Žalal-Abad,Kyrgyzstan,
Barskoon,9248,42.154,77.6073,Ycyk-Kôl,Kyrgyzstan,
Čaldybar,9160,42.81901,73.53514,Čùj,Kyrgyzstan,
Bosteri,9094,42.65744,77.18996,Ycyk-Kôl,Kyrgyzstan,
Kara-Bak,9007,40.1588304,70.8149365,Batken,Kyrgyzstan,
Prigorodnoe,8910,42.902,74.54189,Čùj,Kyrgyzstan,
Vasilʹevka,8860,43.09823,74.58532,Čùj,Kyrgyzstan,
Novonikolaevka,8707,42.83025,73.88984,Čùj,Kyrgyzstan,
Baetov,8699,41.267019,74.960843,Naryn,Kyrgyzstan,
Dostuk,8681,41.407267,71.464605,Žalal-Abad,Kyrgyzstan,
Kemin,8679,42.786944,75.691111,Čùj,Kyrgyzstan,
Tepe-Korgon,8573,40.590989,72.40481,Oš,Kyrgyzstan,
Panfilov,8456,42.79174,73.67799,Čùj,Kyrgyzstan,
Ak-Korgon,8334,41.383957,71.588467,Žalal-Abad,Kyrgyzstan,
Oktâbrʹ,8325,43.1169,74.49451,Čùj,Kyrgyzstan,
Pokrovka,8286,42.7309,71.61339,Talas,Kyrgyzstan,
Bakaj-Ata,8270,42.48744,71.930653,Talas,Kyrgyzstan,
Kok-Bel,8087,40.258152,72.914748,Oš,Kyrgyzstan,
Kirov,8075,40.699,72.88413,Oš,Kyrgyzstan,
Andarak,8062,39.76722,69.47093,Batken,Kyrgyzstan,
Krasnaâ Rečka,8012,42.89706,74.97641,Čùj,Kyrgyzstan,
Kara-Dyjkan,7971,40.78958,73.368905,Oš,Kyrgyzstan,
Saruu,7698,42.3224,77.9219,Ycyk-Kôl,Kyrgyzstan,
Karavan,7661,40.295185,72.1853817,Batken,Kyrgyzstan,
Ozgur [bôlùgù],7591,40.4483332,72.8560763,Oš City,Kyrgyzstan,
Samarkandek,7566,39.9983203,70.5457918,Batken,Kyrgyzstan,
Taš-Bulak,7557,40.948527,73.013267,Žalal-Abad,Kyrgyzstan,
Ylaj-Talaa,7537,40.590149,73.601703,Oš,Kyrgyzstan,
Kyzyl-Žar,7485,41.148526,72.091756,Žalal-Abad,Kyrgyzstan,
Taš-Dôbô,7390,42.72369,74.57211,Čùj,Kyrgyzstan,
Selekcionnoe,7353,42.834444,74.520833,Čùj,Kyrgyzstan,
Centralʹnoe,7314,40.1879109,69.8332608,Batken,Kyrgyzstan,
Katran̦,7295,39.842889,70.011639,Batken,Kyrgyzstan,
Telʹman,7282,40.68716,72.86045,Oš,Kyrgyzstan,
Ajry-Tam,7259,41.133514,71.41339,Žalal-Abad,Kyrgyzstan,
Kyzyl-Bel,7242,40.0999091,70.7412532,Batken,Kyrgyzstan,
Orlovka,7200,42.7475,75.588333,Čùj,Kyrgyzstan,
Asanček,7192,40.55689,72.88476,Oš,Kyrgyzstan,
Žan̦y-Aryk,7035,40.65,73.108333,Oš,Kyrgyzstan,
Darkan,7014,42.312,77.8804,Ycyk-Kôl,Kyrgyzstan,
Kùmùš-Aziz,6971,40.907207,72.923931,Žalal-Abad,Kyrgyzstan,
