name,population,latitude,longitude,state,country,percentageOfSessions,,,,
Tapada das Mercês,13573,38.798544,-9.330282097,,Portugal,,,,,
São Félix da Marinha,13560,41.03012497,-8.629189185,,Portugal,,,,,
Santarém,13335,39.2288052,-8.688620467,,Portugal,,,,,
Peniche,13326,39.36032906,-9.382274467,,Portugal,,,,,
Perafita,13311,41.22586014,-8.697333961,,Portugal,,,,,
Moreira,13093,41.2432331,-8.65115621,,Portugal,,,,,
Paredes,13061,41.20924398,-8.330839727,,Portugal,,,,,
Algueirão,12845,38.80604586,-9.334662594,,Portugal,,,,,
Casal de Cambra,12566,38.80118759,-9.230420977,,Portugal,,,,,
Sines,12499,37.9585141,-8.857755191,,Portugal,,,,,
Amarante,12408,41.27324555,-8.082272947,,Portugal,,,,,
Trofa,12230,41.33860453,-8.549549692,,Portugal,,,,,
Famões,11887,38.79544436,-9.211298455,,Portugal,,,,,
Alcochete,11783,38.75083439,-8.955078044,,Portugal,,,,,
Samora Correia,11761,38.92831042,-8.861595023,,Portugal,,,,,
Pedrouços,11564,41.18999353,-8.588922133,,Portugal,,,,,
Almeirim,11552,39.20654814,-8.620766061,,Portugal,,,,,
Mafra,11526,38.94099512,-9.34171907,,Portugal,,,,,
Torres Novas,11481,39.47568127,-8.546201801,,Portugal,,,,,
Lamego,11165,41.09617118,-7.808499579,,Portugal,,,,,
Mirandela,11144,41.48632355,-7.183007168,,Portugal,,,,,
Carregado,11094,39.02692952,-8.974283804,,Portugal,,,,,
Vizela,11072,41.37552591,-8.309204981,,Portugal,,,,,
Joane,11053,41.43563528,-8.421673573,,Portugal,,,,,
São João de Ver,11026,40.9538502,-8.549167146,,Portugal,,,,,
Quinta da Lomba,11020,38.64226873,-9.057502367,,Portugal,,,,,
Póvoa de Santo Adrião,11009,38.80085239,-9.162544012,,Portugal,,,,,
Lavra,10968,41.2522301,-8.710219383,,Portugal,,,,,
Torre da Marinha,10930,38.61710886,-9.098744986,,Portugal,,,,,
Esposende,10896,41.5479673,-8.777671056,,Portugal,,,,,
Vila Real de Santo António,10857,37.19412521,-7.416836316,,Portugal,,,,,
São João do Estoril,10845,38.70753542,-9.383210734,,Portugal,,,,,
