name,population,latitude,longitude,state,country,status
Bruck an der Leitha,7032,48.02375,16.77534,Niederösterreich,Austria,
Hallein,6993,47.68248,13.10037,Salzburg,Austria,
Reutte,6980,47.48879,10.71865,Tirol,Austria,
Sankt Martin,6974,48.236454,14.264686,Oberösterreich,Austria,
Altach,6932,47.3535474,9.6494337,Vorarlberg,Austria,
Hainburg an der Donau,6892,48.1523674,16.9672729,Niederösterreich,Austria,
Groß-Enzersdorf,6873,48.1969144,16.5533905,Niederösterreich,Austria,
Gerasdorf,6793,48.2962096,16.4690073,Niederösterreich,Austria,
Mattersburg,6751,47.73625,16.39663,Burgenland,Austria,
Neuhofen an der Krems,6747,48.1389025,14.2282978,Oberösterreich,Austria,
Gleisdorf,6730,47.1068416,15.7085092,Steiermark,Austria,
Kremsmünster,6710,48.0543599,14.1261878,Oberösterreich,Austria,
Liezen,6638,47.56741,14.24315,Steiermark,Austria,
Hörbranz,6630,47.5557073,9.7525947,Vorarlberg,Austria,
Gallneukirchen,6623,48.3534028,14.4172757,Oberösterreich,Austria,
Frastanz,6595,47.2170959,9.6311797,Vorarlberg,Austria,
Mistelbach,6583,48.56743,16.5722,Niederösterreich,Austria,
Fürstenfeld,6577,47.04795,16.08013,Steiermark,Austria,
Wilhelmsburg,6570,48.095611,15.6056044,Niederösterreich,Austria,
Traiskirchen,6456,48.0160435,16.2939617,Niederösterreich,Austria,
Pressbaum,6429,48.1802344,16.0778427,Niederösterreich,Austria,
Lochau,6420,47.5296789,9.751304,Vorarlberg,Austria,
Perg,6357,48.24992,14.63474,Oberösterreich,Austria,
Lichtenegg,6330,48.1547111,13.9970931,Oberösterreich,Austria,
Eugendorf,6134,47.8688068,13.1287727,Salzburg,Austria,
Hafendorf,6132,47.4522195,15.3104102,Steiermark,Austria,
Kirchenviertel,6051,47.1314133,15.3477332,Steiermark,Austria,
Wimpassing,6039,48.1598625,13.9862229,Oberösterreich,Austria,
Micheldorf,5960,47.8750699,14.1297151,Oberösterreich,Austria,
Kirchbichl,5940,47.5177062,12.0962613,Tirol,Austria,
Breitenfurt bei Wien,5935,48.1406826,16.1326876,Niederösterreich,Austria,
Oberndorf bei Salzburg,5905,47.9420257,12.9433887,Salzburg,Austria,
Kalsdorf bei Graz,5842,46.96438,15.4787256,Steiermark,Austria,
Mürzzuschlag,5687,47.60687,15.67171,Steiermark,Austria,
Haag,5680,48.1140568,14.5679032,Niederösterreich,Austria,
Bad Hall,5655,48.0380697,14.2088574,Oberösterreich,Austria,
Fischamend,5593,48.1186571,16.6126378,Niederösterreich,Austria,
Hart,5592,48.25841,14.27248,Oberösterreich,Austria,
Pinkafeld,5577,47.3738655,16.1252697,Burgenland,Austria,
Himberg,5537,48.0827839,16.4446941,Niederösterreich,Austria,
