name,population,state,country,percentageOfSessions,latitude,longitude
Şalqar,27833,Aqtöbe,Kazakhstan,null,47.8273018,59.6159216
Tasböget,27590,Qyzylorda,Kazakhstan,null,44.769459,65.55484
Baiserke,26338,Almaty,Kazakhstan,null,43.480175,77.04187
Qazyğūrt,26293,Turkıstan,Kazakhstan,null,41.758801,69.385651
Qyzyltöbe,25188,Mañğystau,Kazakhstan,null,43.6810699,51.3429252
Jañatas,25018,Jambyl,Kazakhstan,null,43.5567547,69.7265539
Tūrar Rysqūlov,24748,Turkıstan,Kazakhstan,null,42.5344182,70.3501763
Abai,23510,Turkıstan,Kazakhstan,null,41.345394,68.952988
Alğa,22446,Aqtöbe,Kazakhstan,null,49.896259,57.330296
Şonja,22068,Almaty,Kazakhstan,null,43.537277,79.465935
Tūzdybastau,21693,Almaty,Kazakhstan,null,43.3077438,77.0603505
Üşaral,21122,Almaty,Kazakhstan,null,46.176125,80.952568
Eskıikan,20885,Turkıstan,Kazakhstan,null,43.189571,68.525978
Mūhametjan Tüimebaev,20781,Almaty,Kazakhstan,null,43.4216351,76.9151675
Jetıgen,20429,Almaty,Kazakhstan,null,43.6729665,77.107841
Josaly,20182,Qyzylorda,Kazakhstan,null,45.484024,64.0849
Töle Bi,19771,Jambyl,Kazakhstan,null,43.681767,73.762444
Üştöbe,19744,Almaty,Kazakhstan,null,45.2513771,77.9838119
Qarabūlaq,19561,Almaty,Kazakhstan,null,44.908175,78.4911895
Sortöbe,19458,Jambyl,Kazakhstan,null,42.86599,75.250145
Atakent,19240,Turkıstan,Kazakhstan,null,40.844435,68.5090214
Şolaqqorğan,19090,Turkıstan,Kazakhstan,null,43.766701,69.17688
Tomarly,18879,Atyrau,Kazakhstan,null,47.1596649,51.9490886
Qūlan,18572,Jambyl,Kazakhstan,null,42.910576,72.715652
Şemonaiha,18448,Şyğys Qazaqstan,Kazakhstan,null,50.6287241,81.9155467
Zaisan,18430,Şyğys Qazaqstan,Kazakhstan,null,47.467175,84.871895
Makinsk,18098,Aqmola,Kazakhstan,null,52.63287,70.418213
