state,name,population,latitude,longitude,country,percentageOfSessions
Gelderland,Weurt,2525,51.8518878,5.7956982,Netherlands,
Noord-Brabant,Willemstad,2525,51.6923944,4.4407443,Netherlands,
Noord-Holland,Egmond-Binnen,2515,52.5923436,4.639149,Netherlands,
Limburg,Born,2515,51.0295039,5.8060974,Netherlands,
Overijssel,Oldemarkt,2505,52.8198244,5.9780326,Netherlands,
Utrecht,Langbroek,2505,52.0134266,5.327974,Netherlands,
Gelderland,Hierden,2495,52.3583559,5.6761144,Netherlands,
Zuid-Holland,Streefkerk,2495,51.8991876,4.7446511,Netherlands,
Noord-Brabant,Luyksgestel,2490,51.2852991,5.3176061,Netherlands,
Drenthe,Dwingeloo,2485,52.8345363,6.368657,Netherlands,
Fryslân,Kootstertille,2480,53.2128456,6.0958336,Netherlands,
Noord-Brabant,Riel,2480,51.5255726,5.0228604,Netherlands,
Utrecht,Benschop,2475,52.0087783,4.9804921,Netherlands,
Noord-Brabant,Haarsteeg,2475,51.7145267,5.1996052,Netherlands,
Noord-Holland,Westzaan Noord,2470,52.4667328,4.7755755,Netherlands,
Noord-Brabant,Kruisland,2470,51.5696728,4.4121255,Netherlands,
Zuid-Holland,Heenvliet,2470,51.8637272,4.2439188,Netherlands,
Zeeland,Aardenburg,2470,51.2724837,3.4423088,Netherlands,
Zeeland,IJzendijke,2470,51.3219332,3.6165681,Netherlands,
Gelderland,Laag Berg en Dal,2440,51.8264273,5.9087171,Netherlands,
Noord-Brabant,Volkel,2440,51.6458478,5.6564351,Netherlands,
Limburg,Well,2440,51.5580164,6.0888554,Netherlands,
Zuid-Holland,Nieuwe-Tonge,2425,51.7144822,4.1672782,Netherlands,
Drenthe,Koekange,2420,52.6981842,6.3167554,Netherlands,
Noord-Brabant,Spoordonk,2415,51.5181432,5.2706681,Netherlands,
Utrecht,Zegveld,2410,52.1144606,4.8376073,Netherlands,
Groningen,Opende,2410,53.1745112,6.1991212,Netherlands,
Noord-Brabant,Herpen,2395,51.7725735,5.648991,Netherlands,
Gelderland,Waardenburg,2390,51.8328047,5.2592537,Netherlands,
Zeeland,Sint Philipsland,2390,51.6182598,4.1648252,Netherlands,
Fryslân,Heeg,2385,52.9704003,5.6080715,Netherlands,
Gelderland,Pannerden,2375,51.8901032,6.0403435,Netherlands,
Noord-Brabant,Oeffelt,2375,51.6974806,5.9366984,Netherlands,
Gelderland,De Hoven,2370,52.146097,6.1683289,Netherlands,
Overijssel,Rossum,2370,52.3522826,6.922273,Netherlands,
Noord-Brabant,Klein-Zundert,2370,51.4811153,4.6550669,Netherlands,
Limburg,Neerbeek,2370,50.9486989,5.81551,Netherlands,
Fryslân,Wommels,2365,53.1084779,5.5896728,Netherlands,
Utrecht,Lexmond,2365,51.9640568,5.0379786,Netherlands,
Noord-Brabant,Nieuw Wolfslaar,2365,51.56539,4.8159832,Netherlands,
Zuid-Holland,De Zilk,2360,52.3030591,4.5442048,Netherlands,
Zeeland,Oosterland,2360,51.6505036,4.03576,Netherlands,
Groningen,Ter Apelkanaal,2360,52.9027305,7.0475933,Netherlands,
Zuid-Holland,Stompwijk,2355,52.0971986,4.4667837,Netherlands,
Limburg,Thorn,2345,51.1621321,5.843103,Netherlands,
Groningen,Loppersum,2340,53.3322706,6.7470697,Netherlands,
Drenthe,Elim,2335,52.6811497,6.5805702,Netherlands,
Noord-Holland,Loosdrecht,2325,52.2074428,5.0785575,Netherlands,
Flevoland,Ketelhaven,2320,52.5771429,5.7624109,Netherlands,
Limburg,Ysselsteyn,2320,51.4851056,5.894252,Netherlands,
Zeeland,Sluis,2310,51.3090787,3.3859824,Netherlands,
Zeeland,Clinge,2305,51.2714414,4.0894506,Netherlands,
Noord-Brabant,Langenboom,2300,51.7039683,5.7267855,Netherlands,
Noord-Brabant,Nieuw-Vossemeer,2300,51.5902648,4.2181885,Netherlands,
Limburg,Grevenbicht,2300,51.0467108,5.775036,Netherlands,
Fryslân,Noordburgum,2290,53.2273789,6.0029704,Netherlands,
Gelderland,Beltrum,2290,52.0671516,6.5646001,Netherlands,
Groningen,Slochteren,2290,53.2115803,6.7991178,Netherlands,
Gelderland,Aalst,2285,51.7823435,5.1231049,Netherlands,
Gelderland,Heukelum,2280,51.8737416,5.0784429,Netherlands,
Noord-Holland,Midwoud,2280,52.718638,5.0761906,Netherlands,
Noord-Brabant,Raamsdonk,2280,51.687321,4.9099946,Netherlands,
Zeeland,Sluiskil,2280,51.2785413,3.8326192,Netherlands,
Noord-Holland,Lutjebroek,2270,52.6987122,5.2009547,Netherlands,
Limburg,Schimmert,2265,50.907418,5.829869,Netherlands,
Fryslân,Gytsjerk,2260,53.2402185,5.8964521,Netherlands,
Drenthe,Sleen,2260,52.7699562,6.7999082,Netherlands,
Noord-Holland,Vogelenzang,2260,52.3211668,4.5781207,Netherlands,
Gelderland,Boven-Leeuwen,2255,51.8853063,5.5513691,Netherlands,
Noord-Holland,ʼt Veld,2255,52.7390819,4.855734,Netherlands,
Zuid-Holland,Goedereede,2255,51.8195819,3.9830631,Netherlands,
Overijssel,Giethoorn,2250,52.7376961,6.0800197,Netherlands,
Limburg,Gronsveld,2250,50.809863,5.7321095,Netherlands,
Limburg,Leunen,2250,51.5003603,5.9840988,Netherlands,
Overijssel,Luttenberg,2245,52.4049657,6.365258,Netherlands,
Noord-Brabant,'s Gravenmoer,2245,51.6561375,4.9457073,Netherlands,
Zuid-Holland,Oud-Alblas,2245,51.8578873,4.7046475,Netherlands,
Limburg,Melderslo,2235,51.4602364,6.0852504,Netherlands,
Drenthe,Westlaren,2230,53.0845324,6.6641224,Netherlands,
Gelderland,Winssen,2230,51.8808804,5.7055705,Netherlands,
Noord-Brabant,Vessem,2225,51.4224713,5.288448,Netherlands,
Noord-Brabant,Wagenberg,2225,51.6639463,4.7441805,Netherlands,
Overijssel,Hengevelde,2220,52.1994178,6.6370543,Netherlands,
Groningen,Aduard,2215,53.2552931,6.4591548,Netherlands,
Noord-Holland,Wijk aan Zee,2205,52.4922173,4.5938717,Netherlands,
Noord-Holland,Slootdorp,2195,52.8432015,4.970542,Netherlands,
Limburg,America,2195,51.4379777,5.9797854,Netherlands,
Groningen,Middelstum,2195,53.3456962,6.6426331,Netherlands,
Groningen,Warffum,2195,53.3927387,6.5579117,Netherlands,
Drenthe,Veenoord,2190,52.7131349,6.8454309,Netherlands,
Gelderland,Vuren,2190,51.8241884,5.0554899,Netherlands,
Noord-Holland,Berkhout,2190,52.6395533,4.9940217,Netherlands,
Zuid-Holland,Melissant,2190,51.7690758,4.0704514,Netherlands,
Noord-Holland,Den Oever,2180,52.9345261,5.0294172,Netherlands,
Zeeland,Kamperland,2180,51.5706412,3.7033379,Netherlands,
Overijssel,Tuk,2165,52.7968431,6.0947085,Netherlands,
Noord-Holland,Zwaanshoek,2165,52.314112,4.6160962,Netherlands,
Gelderland,Halle,2160,51.9901623,6.4302778,Netherlands,
Gelderland,Ooij,2160,51.8560394,5.9369512,Netherlands,
Gelderland,Overasselt,2160,51.7608358,5.786646,Netherlands,
Noord-Holland,Velsen-Zuid,2160,52.4607992,4.6536334,Netherlands,
Gelderland,Garderen,2155,52.2340641,5.7123978,Netherlands,
Noord-Brabant,Esch,2155,51.6107715,5.2913897,Netherlands,
Noord-Brabant,Nieuwkuijk,2155,51.6934773,5.1779004,Netherlands,
Gelderland,Steenderen,2150,52.0639362,6.187233,Netherlands,
Noord-Holland,Opmeer,2150,52.7033963,4.9461893,Netherlands,
Noord-Brabant,Westerhoven,2150,51.3312433,5.3952706,Netherlands,
Limburg,Milsbeek,2145,51.7289568,5.946543,Netherlands,
Drenthe,Schoonoord,2140,52.8468206,6.7545965,Netherlands,
Noord-Holland,Stompetoren,2135,52.6133627,4.8169976,Netherlands,
Limburg,Merum,2135,51.1686658,5.960796,Netherlands,
Gelderland,Tricht,2130,51.8904786,5.2679773,Netherlands,
Groningen,Midwolda,2130,53.1952588,7.0149041,Netherlands,
Fryslân,Wijnjewoude,2125,53.0577928,6.204455,Netherlands,
Noord-Brabant,Wintelre,2125,51.4439562,5.3409842,Netherlands,
Limburg,Afferden,2125,51.6351882,6.0157608,Netherlands,
Zuid-Holland,Westmaas,2110,51.7870063,4.4751899,Netherlands,
Drenthe,Noordscheschut,2095,52.7242377,6.5343109,Netherlands,
Overijssel,Dorp Haarle,2095,52.3596903,6.3789064,Netherlands,
Noord-Brabant,Standdaarbuiten,2090,51.6128454,4.5150116,Netherlands,
Limburg,Beesel,2085,51.2677996,6.04012,Netherlands,
Limburg,Hegelsom,2085,51.4385951,6.039976,Netherlands,
Utrecht,Schalkwijk,2080,51.9949293,5.1845604,Netherlands,
Limburg,Siebengewald,2080,51.6514212,6.1061781,Netherlands,
Noord-Brabant,Odiliapeel,2075,51.6435504,5.7056649,Netherlands,
Gelderland,Epse,2070,52.223871,6.208153,Netherlands,
Groningen,Blijham,2070,53.1093982,7.0803893,Netherlands,
Gelderland,Haalderen,2065,51.8872056,5.9283491,Netherlands,
Noord-Holland,Wieringerwaard,2065,52.836881,4.8633342,Netherlands,
Groningen,Beerta,2065,53.1741646,7.0977333,Netherlands,
Fryslân,Oentsjerk,2060,53.2525274,5.8989542,Netherlands,
Gelderland,Deil,2060,51.8848982,5.2400668,Netherlands,
Noord-Brabant,Zegge,2060,51.5576214,4.5169048,Netherlands,
Zeeland,Philippine,2060,51.2826963,3.7587501,Netherlands,
Gelderland,Beek,2055,51.9070557,6.1900348,Netherlands,
Overijssel,Bornerbroek,2050,52.308249,6.654596,Netherlands,
Gelderland,Oosterwolde,2045,52.4652774,5.8958012,Netherlands,
Noord-Holland,Abbekerk,2045,52.7310096,5.0170057,Netherlands,
Noord-Brabant,Mariahout,2045,51.5401429,5.5703775,Netherlands,
Limburg,Arcen,2040,51.4750519,6.1820854,Netherlands,
Zeeland,Kortgene,2040,51.5588243,3.8017269,Netherlands,
Gelderland,Hulshorst,2035,52.3624059,5.7285392,Netherlands,
Noord-Brabant,Duizel,2035,51.3687679,5.2987869,Netherlands,
Noord-Brabant,Hoogeloon,2035,51.3911401,5.268662,Netherlands,
Limburg,Wessem,2035,51.1629376,5.8818893,Netherlands,
Noord-Brabant,Milheeze,2025,51.5030712,5.7812474,Netherlands,
Zeeland,s-Heerenhoek,2010,51.4538957,3.7697984,Netherlands,
Limburg,Lottum,2005,51.4616307,6.1600221,Netherlands,
Drenthe,Vledder,2000,52.8557818,6.2083132,Netherlands,
Gelderland,Groessen,2000,51.9283231,6.0263309,Netherlands,
Overijssel,Deurningen,2000,52.3006508,6.8377595,Netherlands,
Noord-Brabant,Budel-Schoot,2000,51.2511445,5.5657671,Netherlands,
Limburg,Puth,2000,50.9544052,5.8700692,Netherlands,
Flevoland,Nagele,1995,52.6435564,5.7242782,Netherlands,
Gelderland,Zieuwent,1995,52.0046036,6.5184117,Netherlands,
Utrecht,Vreeland,1995,52.2314228,5.0321905,Netherlands,
Gelderland,Voorst,1990,52.1708053,6.1417623,Netherlands,
Limburg,Buchten,1990,51.0433165,5.812966,Netherlands,
Utrecht,Groenekan,1965,52.1243866,5.1506615,Netherlands,
Gelderland,Valburg,1960,51.9116513,5.7892763,Netherlands,
Limburg,Beringe,1960,51.3402894,5.932536,Netherlands,
Groningen,Vlagtwedde,1960,53.0284733,7.1127092,Netherlands,
Noord-Brabant,Rijswijk,1955,51.7976182,5.0235051,Netherlands,
Limburg,Berg,1950,51.0040135,5.7725335,Netherlands,
Gelderland,Babberich,1945,51.9065658,6.1148113,Netherlands,
Gelderland,Doornspijk,1945,52.4155427,5.8137124,Netherlands,
Limburg,Wijlre,1945,50.8343478,5.8923913,Netherlands,
Zeeland,Westdorpe,1940,51.2349718,3.8317359,Netherlands,
Fryslân,Donkerbroek,1930,53.0191255,6.2373511,Netherlands,
Noord-Holland,Callantsoog,1930,52.8387575,4.6988129,Netherlands,
Noord-Brabant,Beugen,1930,51.6719213,5.9393879,Netherlands,
Zuid-Holland,Molenaarsgraaf,1930,51.876117,4.8233024,Netherlands,
Noord-Brabant,Lage Mierde,1925,51.4042352,5.1487508,Netherlands,
Limburg,Vlodrop,1925,51.132914,6.0739275,Netherlands,
Drenthe,Eerste Kruisdiep,1920,52.856428,6.9901182,Netherlands,
Zuid-Holland,Zwartewaal,1915,51.8816585,4.2213186,Netherlands,
Noord-Brabant,Hooge Mierde,1910,51.3865852,5.1279216,Netherlands,
Fryslân,Garyp,1905,53.1648774,5.9681842,Netherlands,
Fryslân,Wergea,1905,53.1507724,5.8460491,Netherlands,
Drenthe,Tynaarlo,1900,53.0794642,6.6131611,Netherlands,
Noord-Brabant,Lierop,1900,51.4193057,5.6838409,Netherlands,
Limburg,Wanssum,1900,51.5361164,6.0787274,Netherlands,
Overijssel,Steenwijkerwold,1895,52.8031342,6.06469,Netherlands,
Noord-Brabant,Gerwen,1895,51.4856844,5.5632402,Netherlands,
Noord-Brabant,Neerkant,1895,51.3688904,5.864805,Netherlands,
Zeeland,Oostkapelle,1895,51.5667894,3.5495966,Netherlands,
Fryslân,Bakkeveen,1890,53.0813008,6.2551672,Netherlands,
Gelderland,Deest,1890,51.8886126,5.6686467,Netherlands,
Fryslân,Oudehaske,1885,52.9598895,5.8656909,Netherlands,
Noord-Brabant,Heerle,1885,51.5167115,4.364597,Netherlands,
Noord-Brabant,Oploo,1885,51.6075192,5.8726004,Netherlands,
Zuid-Holland,Nieuwerbrug aan den Rijn,1885,52.0766791,4.8181454,Netherlands,
Overijssel,De Krim,1880,52.6522871,6.6274727,Netherlands,
Noord-Brabant,Oostelbeers,1880,51.4726467,5.2688934,Netherlands,
Limburg,Meerlo,1880,51.5118466,6.0859284,Netherlands,
Zuid-Holland,Hekelingen,1875,51.8234448,4.3440211,Netherlands,
Groningen,Noordbroek,1875,53.1965298,6.8712647,Netherlands,
Zeeland,Scherpenisse,1870,51.5469951,4.1059587,Netherlands,
Zeeland,Serooskerke,1870,51.5498663,3.5953555,Netherlands,
Drenthe,Oosterhesselen,1865,52.7563399,6.7190515,Netherlands,
Noord-Brabant,Gemonde,1865,51.6198738,5.3586322,Netherlands,
Zuid-Holland,Noorden,1865,52.1672979,4.8268682,Netherlands,
Zuid-Holland,Vierpolders,1865,51.8809541,4.1807762,Netherlands,
Limburg,Klimmen,1865,50.8769566,5.880825,Netherlands,
Zeeland,Vogelwaarde,1865,51.325621,3.9708637,Netherlands,
Utrecht,Austerlitz,1860,52.0811073,5.3117746,Netherlands,
Noord-Brabant,Elshout,1860,51.7034961,5.1324495,Netherlands,
Zuid-Holland,Zwammerdam,1855,52.10621,4.7316516,Netherlands,
Noord-Holland,Opperdoes,1850,52.7595467,5.0769658,Netherlands,
Limburg,Beegden,1850,51.1967052,5.9160039,Netherlands,
Noord-Holland,Westzaanen-Overtoom,1845,52.4373893,4.7811971,Netherlands,
Groningen,Baflo,1845,53.3618729,6.5170456,Netherlands,
Noord-Holland,Onderdijk,1840,52.7432945,5.1361039,Netherlands,
Noord-Brabant,Soerendonk,1840,51.2996216,5.5768867,Netherlands,
Noord-Brabant,Wijbosch,1840,51.6172851,5.46744,Netherlands,
Fryslân,Boornbergum,1835,53.0828893,6.0315358,Netherlands,
Limburg,Obbicht,1835,51.0283905,5.7831468,Netherlands,
Gelderland,Wageningen-Hoog,1830,51.9893679,5.696011,Netherlands,
Noord-Brabant,Middelrode,1825,51.6645981,5.4176777,Netherlands,
Zeeland,Lewedorp,1825,51.4950299,3.7485896,Netherlands,
Groningen,Finsterwolde,1825,53.1985977,7.0901656,Netherlands,
Gelderland,Harfsen,1820,52.2070247,6.2964057,Netherlands,
Zuid-Holland,Hoornaar,1820,51.8772873,4.9468889,Netherlands,
Fryslân,Ferwerd,1815,53.3369492,5.826097,Netherlands,
Fryslân,Minnertsga,1815,53.2500106,5.5958034,Netherlands,
Zeeland,Wolphaartsdijk,1815,51.5306626,3.8191982,Netherlands,
Drenthe,Emmer-Erfscheidenveen,1810,52.8069806,6.9971961,Netherlands,
Gelderland,Etten,1805,51.9163214,6.337632,Netherlands,
Gelderland,Meulunteren/De Valk,1805,52.1191328,5.6528291,Netherlands,
Zeeland,Poortvliet,1800,51.5453337,4.1431928,Netherlands,
Fryslân,Twijzelerheide,1795,53.240414,6.0469256,Netherlands,
Fryslân,Witmarsum,1795,53.1004323,5.4683885,Netherlands,
Drenthe,Gasselternijveen,1795,52.9863694,6.8506852,Netherlands,
Gelderland,Bergharen,1795,51.8516218,5.6682352,Netherlands,
Utrecht,Vinkeveen Plassengebied,1795,52.2342981,4.952306,Netherlands,
Groningen,Wagenborgen,1795,53.2540973,6.9336556,Netherlands,
Flevoland,Creil,1790,52.7634563,5.6614768,Netherlands,
Noord-Brabant,Schijf,1785,51.4984638,4.5602159,Netherlands,
Noord-Brabant,Welberg,1785,51.577773,4.3335524,Netherlands,
Zuid-Holland,Rijpwetering,1785,52.1931498,4.5885337,Netherlands,
Overijssel,Bentelo,1780,52.2242863,6.6827504,Netherlands,
Overijssel,Oudleusen,1780,52.5343285,6.3116046,Netherlands,
Noord-Holland,Ilpendam,1780,52.4637217,4.9538758,Netherlands,
Noord-Brabant,Boskant,1780,51.5505439,5.4192807,Netherlands,
Noord-Brabant,Beers,1775,51.7249304,5.828244,Netherlands,
Noord-Brabant,Venhorst,1775,51.6088502,5.7384302,Netherlands,
Zuid-Holland,Goudswaard,1775,51.7946754,4.2766101,Netherlands,
Groningen,Leens,1775,53.3597154,6.3797008,Netherlands,
Noord-Brabant,Reek,1770,51.7457279,5.6792446,Netherlands,
Drenthe,Gasselte,1765,52.971474,6.7938155,Netherlands,
Gelderland,Terwolde,1765,52.2765601,6.1047458,Netherlands,
Overijssel,Diepenheim-Noord,1760,52.2017254,6.5557997,Netherlands,
Noord-Holland,Cruquius,1760,52.3333552,4.6365466,Netherlands,
Limburg,Budschop,1760,51.2851072,5.7647612,Netherlands,
Gelderland,Leuth,1750,51.8389439,5.9926488,Netherlands,
Gelderland,Rozendaal,1750,52.0046911,5.9635038,Netherlands,
Gelderland,Zuilichem,1745,51.8089405,5.1363357,Netherlands,
Noord-Brabant,Nispen,1745,51.4841838,4.4581736,Netherlands,
Utrecht,Bosch en Duin,1735,52.1204539,5.2369471,Netherlands,
Zuid-Holland,Piershil,1735,51.7931045,4.3143437,Netherlands,
Fryslân,Opeinde,1730,53.1345665,6.0624102,Netherlands,
Gelderland,Bruchem,1730,51.7853692,5.235179,Netherlands,
Noord-Brabant,Huijbergen,1730,51.4321431,4.3767906,Netherlands,
Zuid-Holland,Hoogmade,1730,52.1697434,4.5778927,Netherlands,
Drenthe,Hoogersmilde,1725,52.9057436,6.3958637,Netherlands,
Noord-Brabant,Achtmaal,1725,51.4538707,4.5844387,Netherlands,
Noord-Brabant,Megen,1725,51.8200643,5.5605422,Netherlands,
Limburg,Borgharen,1725,50.8821032,5.6933426,Netherlands,
Zeeland,Kloetinge,1720,51.4994131,3.9154686,Netherlands,
Fryslân,Sint-Jacobiparochie,1715,53.2747621,5.6065148,Netherlands,
Flevoland,Rutten,1715,52.8053195,5.6974578,Netherlands,
Zuid-Holland,Den Bommel,1715,51.7155306,4.2849798,Netherlands,
Drenthe,Exloo,1710,52.8818633,6.8674044,Netherlands,
Gelderland,Ophemert,1710,51.8465804,5.3861293,Netherlands,
Noord-Brabant,Genderen,1710,51.7357404,5.0873089,Netherlands,
Zeeland,Stavenisse,1710,51.5873683,4.0137636,Netherlands,
Gelderland,Afferden,1705,51.8812255,5.6315502,Netherlands,
Zuid-Holland,Driebruggen,1705,52.0436586,4.8016355,Netherlands,
Limburg,Meterik,1705,51.4552669,6.0238659,Netherlands,
Zeeland,Domburg,1705,51.5622834,3.4992135,Netherlands,
Groningen,Meeden,1705,53.1361105,6.9212874,Netherlands,
Gelderland,Alphen,1700,51.822635,5.4716944,Netherlands,
Gelderland,Nederhemert,1700,51.7631523,5.1635332,Netherlands,
Noord-Holland,Dirkshorn,1700,52.7473528,4.7766798,Netherlands,
Noord-Brabant,Rijkevoort,1700,51.6578307,5.8863871,Netherlands,
Limburg,Amstenrade,1700,50.9427507,5.9273261,Netherlands,
Gelderland,Bredevoort,1690,51.9428124,6.6199891,Netherlands,
Gelderland,Stroe,1690,52.1871141,5.6911951,Netherlands,
Overijssel,Saasveld,1690,52.3319698,6.8072521,Netherlands,
Noord-Holland,Driemond,1690,52.3056742,5.0156444,Netherlands,
Zuid-Holland,Ammerstol,1690,51.927358,4.8070364,Netherlands,
Fryslân,Drogeham,1680,53.2019726,6.1146014,Netherlands,
Noord-Brabant,Mariaheide,1680,51.6338688,5.5805301,Netherlands,
Flevoland,Espel,1675,52.7231134,5.6412231,Netherlands,
Gelderland,Nederwoud,1675,52.1054692,5.5803688,Netherlands,
Limburg,Ittervoort,1675,51.1718095,5.8208298,Netherlands,
Fryslân,Nij Beets,1670,53.0690463,6.0047121,Netherlands,
Fryslân,Oudega,1670,53.1181461,5.968791,Netherlands,
Fryslân,Sexbierum,1670,53.2175576,5.4855307,Netherlands,
Drenthe,Weiteveen,1665,52.6724764,6.9887158,Netherlands,
Noord-Brabant,Giessen,1665,51.7910203,5.0315157,Netherlands,
Groningen,Farmsum,1665,53.3223278,6.9259613,Netherlands,
Groningen,Schildwolde,1665,53.232531,6.8100594,Netherlands,
Noord-Holland,De Heul,1660,52.4600843,4.8740878,Netherlands,
Limburg,Heijen,1660,51.677942,5.9765462,Netherlands,
Overijssel,Harbrinkhoek,1655,52.3849885,6.719039,Netherlands,
Noord-Brabant,Zevenbergschen Hoek,1655,51.6750851,4.6777019,Netherlands,
Drenthe,Pesse,1650,52.7717614,6.452701,Netherlands,
Gelderland,Wilp,1650,52.2179783,6.1473911,Netherlands,
Zuid-Holland,Waarder,1650,52.0609599,4.8208096,Netherlands,
Limburg,Grathem,1650,51.1933284,5.8578074,Netherlands,
Zeeland,Hansweert,1650,51.4471973,4.0071645,Netherlands,
Limburg,Rothem,1645,50.8784451,5.74012,Netherlands,
Noord-Brabant,Zijtaart,1640,51.5927462,5.5407346,Netherlands,
Noord-Holland,Marken,1635,52.4614373,5.1098645,Netherlands,
Zuid-Holland,Noordeinde,1635,52.0169861,4.4803329,Netherlands,
Gelderland,Oene,1630,52.3435639,6.0474138,Netherlands,
Zuid-Holland,Geervliet,1630,51.8600218,4.258137,Netherlands,
Zeeland,Zoutelande,1630,51.5003805,3.4899092,Netherlands,
Gelderland,Eck en Wiel,1625,51.9688323,5.456522,Netherlands,
Gelderland,Nieuw-Dijk,1625,51.9326997,6.1562237,Netherlands,
Noord-Holland,Groet met Hargen,1625,52.7182896,4.6578104,Netherlands,
Fryslân,Oranjewoud,1620,52.9486261,5.9701599,Netherlands,
Utrecht,Hollandsche Rading,1620,52.1751902,5.1745691,Netherlands,
Fryslân,Tijnje,1610,53.0298211,5.9909982,Netherlands,
Fryslân,Tytsjerk,1610,53.2074045,5.9195431,Netherlands,
Gelderland,Zoelen,1610,51.9154973,5.4015504,Netherlands,
Noord-Holland,Petten,1610,52.7703851,4.6637752,Netherlands,
Drenthe,Barger-Compascuum,1605,52.7556981,7.0417435,Netherlands,
Utrecht,Nigtevecht,1605,52.2745292,5.0281349,Netherlands,
Gelderland,Wolfheze,1600,52.0022032,5.794112,Netherlands,
Flevoland,Bant,1595,52.769329,5.7520547,Netherlands,
Drenthe,Aalden,1595,52.7907843,6.7167454,Netherlands,
Gelderland,Andelst,1595,51.9073005,5.7284553,Netherlands,
Overijssel,Lettele,1595,52.2768166,6.2732579,Netherlands,
Limburg,Merkelbeek-Douvergenhout,1595,50.9573108,5.940658,Netherlands,
Zeeland,Biervliet,1595,51.3284865,3.6848259,Netherlands,
Drenthe,Nieuw-Roden,1590,53.1269415,6.3884589,Netherlands,
Gelderland,Alverna,1590,51.8038198,5.7587324,Netherlands,
Fryslân,Eastermar,1585,53.1777242,6.0645962,Netherlands,
Fryslân,Scharnegoutum,1585,53.0600241,5.679699,Netherlands,
Gelderland,Zwartebroek,1585,52.1795292,5.5034634,Netherlands,
Zeeland,Colijnsplaat,1585,51.5987681,3.8483283,Netherlands,
Overijssel,IJhorst,1580,52.6599831,6.289767,Netherlands,
Noord-Holland,Schagerbrug,1580,52.8012303,4.7601415,Netherlands,
Limburg,Koningsbosch,1580,51.0541621,5.9511315,Netherlands,
Noord-Holland,Oosterblokker,1565,52.6639727,5.125124,Netherlands,
Flevoland,Kraggenburg,1560,52.6619509,5.9014872,Netherlands,
Gelderland,Loil,1560,51.9525732,6.1428006,Netherlands,
Groningen,Zevenhuizen,1550,53.123888,6.3480914,Netherlands,
Fryslân,Aldeboarn,1545,53.0505917,5.9020875,Netherlands,
Fryslân,Holwerd,1545,53.368512,5.9037549,Netherlands,
Overijssel,Aadorp,1545,52.3723303,6.6259097,Netherlands,
Groningen,Niekerk,1545,53.2249351,6.3522758,Netherlands,
Fryslân,Oldeberkoop,1540,52.9395408,6.1314496,Netherlands,
Noord-Holland,Oudeschild,1540,53.037231,4.8438337,Netherlands,
Groningen,Sellingen,1540,52.9461911,7.1500318,Netherlands,
Gelderland,Horssen,1530,51.8555549,5.6093869,Netherlands,
Gelderland,Keijenborg,1530,52.0301742,6.2952349,Netherlands,
Limburg,Schinnen,1530,50.9448601,5.8882299,Netherlands,
Fryslân,Drachtstercompagnie,1525,53.1293986,6.1478334,Netherlands,
Fryslân,Oudeschoot,1525,52.9344494,5.9650282,Netherlands,
Gelderland,Krachtighuizen,1525,52.2261521,5.620701,Netherlands,
Overijssel,Broekheurne,1525,52.1817139,6.8742369,Netherlands,
Limburg,Ottersum,1525,51.7032145,5.9845913,Netherlands,
Zuid-Holland,Stad aan 't Haringvliet,1520,51.7366202,4.2395816,Netherlands,
Noord-Holland,Ankeveen,1515,52.2652554,5.0960012,Netherlands,
Noord-Brabant,Steensel,1515,51.3776341,5.3555979,Netherlands,
Noord-Holland,De Noord,1510,52.7038159,4.8502269,Netherlands,
Utrecht,Hagestein,1510,51.9809678,5.1209489,Netherlands,
Groningen,Oldehove,1510,53.3020128,6.3959479,Netherlands,
Gelderland,Kilder,1505,51.9376957,6.2317548,Netherlands,
Gelderland,Velddriel,1505,51.7704256,5.3073057,Netherlands,
Overijssel,Mariënheem,1505,52.3832755,6.3234652,Netherlands,
Utrecht,Overberg,1505,52.0384256,5.504352,Netherlands,
Noord-Brabant,Sambeek,1505,51.6362004,5.966522,Netherlands,
Noord-Brabant,Somerense Heide,1505,51.3484444,5.697543,Netherlands,
Gelderland,Terschuur,1500,52.1647553,5.5174776,Netherlands,
Overijssel,Buurse,1500,52.1450536,6.8312077,Netherlands,
Zuid-Holland,Lageweg,1495,51.9567901,4.6513564,Netherlands,
Overijssel,Kloosterhaar,1490,52.4969829,6.6689813,Netherlands,
Zeeland,Borssele,1485,51.4248189,3.7374114,Netherlands,
Groningen,Noordhorn,1485,53.26005,6.3948285,Netherlands,
Drenthe,Nieuwlande kern,1480,52.6884525,6.6098161,Netherlands,
Utrecht,Maarsbergen,1480,52.0573671,5.4038941,Netherlands,
Noord-Brabant,Eerde,1480,51.6043741,5.4973899,Netherlands,
Groningen,Eenrum,1480,53.3616151,6.4618412,Netherlands,
Overijssel,Lemele,1475,52.4553382,6.4192793,Netherlands,
Limburg,Ell,1475,51.2212126,5.795162,Netherlands,
Utrecht,Baambrugge,1470,52.2470678,4.9897934,Netherlands,
Zeeland,Aagtekerke,1470,51.5448825,3.5055838,Netherlands,
Zeeland,Meliskerke,1470,51.5150831,3.5114008,Netherlands,
Gelderland,Halvinkhuizen,1465,52.2391296,5.5822085,Netherlands,
Gelderland,Otterlo,1460,52.0965552,5.7757643,Netherlands,
Noord-Brabant,Vlierden,1460,51.444266,5.7592243,Netherlands,
Zuid-Holland,Berkenwoude,1460,51.9438105,4.7009188,Netherlands,
