state,name,population,latitude,longitude,country,percentageOfSessions
Zuid-Holland,Maassluis,35300,51.9206063,4.2568565,Netherlands,
Zeeland,Vlissingen,34455,51.4424094,3.5809733,Netherlands,
Gelderland,Wijchen,34255,51.8075262,5.7254245,Netherlands,
Fryslân,Sneek,34105,53.0319371,5.6611216,Netherlands,
Noord-Holland,Bussum,33735,52.2702161,5.1708499,Netherlands,
Utrecht,Ijsselstein,32880,52.0194604,5.0439002,Netherlands,
Noord-Holland,Diemen,32780,52.3385226,4.9661345,Netherlands,
Noord-Holland,IJmuiden,32365,52.4579783,4.6098315,Netherlands,
Zuid-Holland,Leidschendam,32305,52.0877434,4.3944175,Netherlands,
Zuid-Holland,Papendrecht,32280,51.8321935,4.694125,Netherlands,
Zuid-Holland,Hendrik-Ido-Ambacht,32180,51.845648,4.6315537,Netherlands,
Overijssel,Oldenzaal,31930,52.3127918,6.9293436,Netherlands,
Zuid-Holland,Berkel,31800,51.9930952,4.4760189,Netherlands,
Zuid-Holland,Waddinxveen,31495,52.0417168,4.6527247,Netherlands,
Limburg,Geleen,31185,50.9646998,5.8181335,Netherlands,
Noord-Holland,Nieuw-Vennep,31170,52.2693801,4.6309401,Netherlands,
Zeeland,Goes,31145,51.5051121,3.8893239,Netherlands,
Drenthe,Meppel,31055,52.697618,6.1879654,Netherlands,
Noord-Brabant,Best,30895,51.5116837,5.3941303,Netherlands,
Fryslân,Heerenveen,30680,52.9602696,5.9265522,Netherlands,
Noord-Brabant,Waalwijk,30455,51.6885984,5.0672828,Netherlands,
Zuid-Holland,Krimpen aan den IJssel,29515,51.9082763,4.5772357,Netherlands,
Limburg,Venray,29295,51.5268878,5.9742701,Netherlands,
Gelderland,Culemborg,29210,51.9562699,5.2251062,Netherlands,
Noord-Brabant,Geldrop,29085,51.4216196,5.5571052,Netherlands,
Zuid-Holland,Pijnacker,28685,52.0163672,4.4336628,Netherlands,
Gelderland,Nijkerk,28470,52.2235463,5.4852878,Netherlands,
Utrecht,Vleuten,28385,52.1088217,5.0120012,Netherlands,
Noord-Brabant,Veghel,28365,51.6175799,5.5456969,Netherlands,
Overijssel,Rijssen,28210,52.3085942,6.5205772,Netherlands,
Noord-Holland,Heemstede,27775,52.3517508,4.6210237,Netherlands,
Flevoland,Dronten,27670,52.5259145,5.7150805,Netherlands,
Limburg,Brunssum,27655,50.9460801,5.971722,Netherlands,
Zuid-Holland,Leiderdorp,27650,52.1626919,4.5328373,Netherlands,
Noord-Brabant,Rosmalen,27510,51.7162276,5.363306,Netherlands,
Zuid-Holland,Wassenaar,26950,52.141645,4.4026452,Netherlands,
Flevoland,Emmeloord,26905,52.717,5.7652951,Netherlands,
